country,life_expectancy_at_birth,mortality_rate_infant,current_health_expenditure,total_air_emissions,self_reported_unmet_needs_for_medical_examination,total_unemployment_rate,hipc,self_perceived_health,at_risk_of_poverty_rate
Belgium,81.7902439,3.1,11.04290771,8197272.49,1.4,6.3,10.3,91.1,20
Bulgaria,71.46341463,5.2,8.56,9553737.38,0.6,5.2,13,93.9,12.2
Cyprus,81.203,2.7,9.43,7133913.7,0.1,7.2,8.1,95.5,24.5
Czechia,77.22195122,2.2,9.4887867,8584694.02,0,2.8,14.8,96.1,22.7
Denmark,81.40487805,3.1,10.82,10471307.52,0.4,5.1,8.5,93.6,8.3
Estonia,76.94390244,1.5,7.49057293,9583041.59,0.2,6.2,19.4,88.9,21.2
Finland,81.88536585,1.9,10.25,7568092.07,0,7.7,7.2,94.7,13.3
France,82.32439024,3.3,12.30787277,6211558.08,1.8,7.9,5.9,91.2,24.6
Germany,80.7902439,3.1,12.93412971,15263025.74,0.1,3.7,8.7,81.3,26.4
Greece,80.08292683,3.4,9.17298794,13167103.53,2.8,14.7,9.3,91.3,11.3
Hungary,74.16341463,3.3,7.38,15542971.02,0.2,4,15.3,89.9,19.2
Iceland,83.16585366,2.1,9.73,4875120.87,0,6.1,5.7,80.3,24.8
Ireland,82.35365854,2.8,6.71662664,10181371.95,0.2,6.2,8.1,87,15.7
Italy,82.64634146,2.3,9.38,6359074.66,1,9.5,8.7,94.3,14.4
Latvia,72.9804878,3,9.04,9687148.03,1.7,7.6,17.2,94.6,11.7
Lithuania,74.03658537,2.9,7.82,6410950.7,0.1,7.1,18.9,86.5,17
Luxembourg,82.59756098,2.2,5.67,9676971.06,0.7,5.3,8.2,86.1,17.3
Malta,82.50731707,5,10.58,7015095.3,0.1,3.8,6.1,93,13.7
Netherlands,81.3097561,3.4,11.29,6335363.83,0.1,4.2,11.6,92.4,10.4
Norway,83.16341463,1.8,10.08,14861245.84,0.2,4.4,6.2,,
Poland,75.50243902,3.8,6.44,8055810.94,0.4,3.4,13.2,90.9,14.4
Portugal,81.37804878,2.7,11.14,11364716.69,1.5,6.7,8.1,92.5,15.5
Romania,72.8097561,5.3,6.48,5576661.78,2.2,5.6,12,81.7,18.3
Serbia,72.7804878,4.6,10.0125246,5483393.69,1.4,11.2,11.7,97.7,
Slovak Republic,74.61463415,4.9,7.75,7645042.56,0.3,6.8,12.1,92.4,9.9
Slovenia,80.67560976,1.9,9.48,6147690.2,0.1,4.8,9.3,97.5,24.5
Spain,83.05609756,2.1,10.74003887,8610040.44,0.1,14.9,8.3,97.6,25.2
Sweden,83.75121951,3.5,11.25,8870799.69,0,8.9,8.1,87.8,16.5
Switzerland,83.7,7,11.80107975,11669622.15,0.6,5.1,2.7,83.9,28.5
